Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank
IR-O-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",50.01,39.35,70.44,48.26,27.26,Howrah,West Bengal,48.45,66
IR-O-U-0474,Sathyabama Institute of Science and Technology,56.99,29.87,65.82,65.05,23.57,Chennai,Tamil Nadu,48.09,67
IR-O-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",53.53,39.28,70.53,54.61,6.29,Nagpur,Maharashtra,48.05,68
IR-O-U-0253,Cochin University of Science and Technology,57.05,32.57,73.37,51.63,13.02,Cochin,Kerala,48.02,69
IR-O-I-1357,University of Madras,56.58,32.35,71.3,52.41,18.45,Chennai,Tamil Nadu,48.01,70
IR-O-U-0006,"Andhra University, Visakhapatnam",54.05,25.8,85.7,53.73,15.04,Visakhapatnam,Andhra Pradesh,47.97,71
IR-O-U-0577,National Institute of Technology Durgapur,53.96,35.16,70.09,57.15,14.24,Durgapur,West Bengal,47.9,72
IR-O-U-0136,Gujarat University,64.75,18.38,83.3,57.39,3.78,Ahmedabad,Gujarat,47.72,73
IR-O-U-0107,Jamia Hamdard,56.93,30.15,70.35,60.93,12.18,New Delhi,Delhi,47.5,74
IR-O-U-0523,King George`s Medical University,66.33,26.31,63.36,55.83,9.57,Lucknow,Uttar Pradesh,47,75
IR-O-U-0055,"National Institute of Technology, Silchar",52.26,36.84,68.43,57.1,6.29,Silchar,Assam,46.76,76
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,69.78,19.22,64.27,61.3,10.89,Pune,Maharashtra,46.76,76
IR-O-U-0498,Babasheb Bhimrao Ambedkar University,53.54,19.68,82.46,74.59,4.8,Lucknow,Uttar Pradesh,46.39,78
IR-O-S-8909,Indian Institute of Management Kozhikode,65.93,15.51,61.55,72.34,23.89,Kozhikode,Kerala,46.36,79
IR-O-U-0376,Guru Nanak Dev University,51.06,28.73,78.53,56.6,10.01,Amritsar,Punjab,46.31,80
IR-O-U-0318,Mumbai University,55.16,22.52,82.54,55.95,7.26,Mumbai,Maharashtra,46.15,81
IR-O-U-0448,Bharathidasan University,57.72,32.56,61.8,48.1,18.81,Tiruchirappalli,Tamil Nadu,46.14,82
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,69.68,17.07,64.33,65.08,6.78,Chennai,Tamil Nadu,46.08,83
IR-O-U-0196,University of Kashmir,60.58,21.23,79.56,51.37,3.78,Srinagar,Jammu and Kashmir,45.98,84
IR-O-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",57.67,27.88,66.39,64.32,4.8,Jalandhar,Punjab,45.85,85
IR-O-U-0689,All India Institute of Medical Sciences Jodhpur,64.36,26.23,60.4,61.19,4.3,Jodhpur,Rajasthan,45.81,86
IR-O-U-0389,Banasthali Vidyapith,53.01,15.98,84.96,75.83,5.31,Banasthali,Rajasthan,45.8,87
IR-O-U-0463,Madurai Kamaraj University,63.33,24.04,65.24,52.47,12.6,Madurai,Tamil Nadu,45.77,88
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,68.42,17.66,64.52,62.17,7.26,Mumbai,Maharashtra,45.68,89
